m,lambda,model
2.10046114060924,46.8842303811909,GM1
2.11721243972885,43.2859232452272,GM1
2.13315510067323,40.0624119654086,GM1
2.14831569503533,37.1672405121123,GM1
2.16272139531349,34.5603780372726,GM1
2.17639861268635,32.2074377669962,GM1
2.18937354856503,30.0786981203119,GM1
2.20167211288544,28.1483995844794,GM1
2.21331927025459,26.3942422193994,GM1
2.22434029326989,24.7966900767961,GM1
2.23475892318385,23.3388236062287,GM1
2.24459903831167,22.0057380230259,GM1
2.2538835912652,20.7843974470075,GM1
2.26263472807222,19.6633598008552,GM1
2.27087430751623,18.632495719955,GM1
2.27862303423548,17.6829162794653,GM1
2.28590142629744,16.8066961685549,GM1
2.29272883568527,15.9968615713492,GM1
2.29912436783898,15.2471657160225,GM1
2.30510610672918,14.5520842863337,GM1
2.31069168769831,13.9066644681326,GM1
2.31589794776542,13.3064945458578,GM1
2.32074119545826,12.7476110142636,GM1
2.32523704700545,12.2264648221177,GM1
2.32940049550077,11.7398674826186,GM1
2.3332459827149,11.2849434765751,GM1
2.33678735867751,10.8591006031118,GM1
2.34003786717771,10.4600028547821,GM1
2.34301024409882,10.085532888728,GM1
2.34571673093811,9.73376806155389,GM1
2.34816898609833,9.40297292709991,GM1
2.35037824187347,9.09156256266988,GM1
2.35235524410138,8.79809578478687,GM1
2.35411024768174,8.52126479834996,GM1
2.35565313653385,8.25986608621425,GM1
2.35699330189353,8.01281151394298,GM1
2.35813980142924,7.77909360858614,GM1
2.35910125580655,7.55779806660745,GM1
2.35988593352674,7.34808257726484,GM1
2.36050175077157,7.14917303019491,GM1
2.36095627647199,6.96036004378429,GM1
2.36125675925196,6.7809872547042,GM1
2.3614101324282,6.61045129738925,GM1
2.36142303134831,6.44819568875321,GM1
0.827368878232593,20541.5087884735,NL3
0.886309185813522,14518.6789994501,NL3
0.947808412419811,10309.8251062119,NL3
1.01187655542797,7354.00921682102,NL3
1.0784335034464,5270.19050923905,NL3
1.14729763489883,3796.44987155303,NL3
1.21818240322455,2751.10277800795,NL3
1.29070016025892,2007.3260369258,NL3
1.3643794653182,1476.20579968305,NL3
1.43868609208731,1095.28544092983,NL3
1.51305325836129,820.641922170065,NL3
1.5869103123208,621.382115562916,NL3
1.65971147836021,475.768834604288,NL3
1.73095879937326,368.496502106151,NL3
1.80021775663602,288.772463182121,NL3
1.86712783051744,228.96570506773,NL3
1.93140521703299,183.661557312011,NL3
1.99284090278642,148.999940362639,NL3
2.05129515961803,122.213437786413,NL3
2.10668977950073,101.305134446495,NL3
2.15899905159975,84.8238458465828,NL3
2.20824073283408,71.7068943189308,NL3
2.25446702294142,61.1699439968318,NL3
2.29775711492999,52.6292444673167,NL3
2.33821000031477,45.6467607435996,NL3
2.3759389457663,39.8910046058685,NL3
2.41106614447734,35.1091021393755,NL3
2.44371892110599,31.1065569255891,NL3
2.47402676936372,27.7325603713753,NL3
2.50211923019601,24.8692384996529,NL3
2.52812351696766,22.4238107583337,NL3
2.5521634691598,20.3226890727895,NL3
2.57435856059313,18.5070978302846,NL3
2.59482329508162,16.9297695607134,NL3
2.61366675400558,15.5524461391943,NL3
2.63099248250514,14.3439601218425,NL3
2.6468980933027,13.2787879829601,NL3
2.6614758609745,12.3358747291319,NL3
2.67481225946449,11.4977875289761,NL3
2.68698888398985,10.7499741393602,NL3
2.6980816027057,10.0802820077782,NL3
2.70816173895352,9.47846546805222,NL3
